대분류,중분류,소분류, 정가 , 구독할인 가격 , 구독차감 , 프리미엄 가격 , 구독자 프리미엄  가격 
개별클리닝,상의,캐주얼조끼,"5,000","4,000",1,"12,000","12,000"
개별클리닝,상의,한복 조끼,"3,000","2,400",1, - , - 
개별클리닝,상의,한복 상의,"6,000","4,800",1, - , - 
개별클리닝,하의,한복 하의,"7,000","5,600",1, - , - 
개별클리닝,잡화,"수영복, 레시가드","6,000","4,800",1, - , - 
개별클리닝,상의,가운,"7,500","6,000",1, - , - 
개별클리닝,잡화,에코백/토트백,"4,000","3,200",1, - , - 
개별클리닝,잡화,인형,"7,800","6,240",1, - , - 
개별클리닝,잡화,대형 인형,"20,000","16,000",1, - , - 
개별클리닝,잡화,앞치마,"4,000","3,200",1, - , - 
개별클리닝,상의,정장조끼,"3,500","2,800",1,"12,000","9,600"
개별클리닝,상의,티셔츠,"4,500","3,600",1,"12,000","9,600"
개별클리닝,상의,가디건,"6,500","5,200",1,"18,000","14,400"
개별클리닝,하의,패딩바지,"10,000","8,000",1,"25,000","20,000"
개별클리닝,아우터,경량패딩,"9,800","7,840",1,"40,000","32,000"
개별클리닝,상의,블라우스,"4,800","3,840",1,"15,000","12,000"
개별클리닝,상의,"후드티, 맨투맨티","5,500","4,400",1,"15,000","12,000"
개별클리닝,아우터,롱패딩점퍼,"22,000","17,600",3,"50,000","40,000"
개별클리닝,아우터,패딩조끼,"9,800","7,840",1,"40,000","32,000"
개별클리닝,아우터,"코트, 트렌치코트","14,800","11,840",2,"50,000","40,000"
개별클리닝,잡화,장갑,"4,800","3,840",1,"12,000","9,600"
개별클리닝,잡화,넥타이,"3,000","2,400",1,"12,000","9,600"
개별클리닝,아우터,일반패딩,"17,800","14,240",2,"40,000","32,000"
개별클리닝,잡화,모자,"6,800","5,440",2,"12,000","9,600"
개별클리닝,잡화,"머플러, 스카프","4,800","3,840",1,"12,000","9,600"
개별클리닝,상의,"니트, 스웨터","6,500","5,200",1,"18,000","14,400"
개별클리닝,상의,"원피스, 점프수트","7,400","5,920",1,"25,000","20,000"
개별클리닝,아우터,정장재킷,"6,500","5,200",1,"25,000","20,000"
개별클리닝,하의,바지,"5,800","4,640",1,"15,000","12,000"
개별클리닝,하의,스커트,"5,800","4,640",1,"15,000","12,000"
개별클리닝,상의,재킷,"8,500","6,800",1,"30,000","24,000"
개별클리닝,잡화,숄,"8,000","6,400",1,"20,000","16,000"
개별클리닝,셔츠,와이셔츠,"2,900","2,320",,"10,000","8,000"
이불,구스 이불,,"22,000","17,600",3, - , - 
이불,양모 이불,,"22,000","17,600",3, - , - 
이불,실크 이불,,"22,000","17,600",3, - , - 
이불,일반이불,,"14,500","11,600",2, - , - 
이불,아동이불,,"7,500","6,000",1, - , - 
이불,무릎담요,,"7,500","6,000",1, - , - 
이불,구스토퍼,,"30,000","24,000",3, - , - 
이불,구스베개,,"12,000","9,600",2, - , - 
이불,극세사 패드,,"14,500","11,600",2, - , - 
이불,극세사 이불,,"19,800","15,840",3, - , - 
이불,일반 토퍼,,"19,800","15,840",3, - , - 
리빙,쇼파커버(3인이상),,"20,000","16,000",, - , - 
리빙,쇼파커버(2인이하),,"15,000","12,000",, - , - 
리빙,일반커튼,,"17,000","13,600",, - , - 
리빙,암막커튼,,"25,000","20,000",, - , - 
리빙,이중커튼,,"20,000","16,000",, - , - 
리빙,"러그, 카펫",,"18,000","14,400",, - , - 
리빙,식탁보,,"12,000","9,600",, - , - 
리빙,차량용 양털시트,,"20,000","16,000",, - , - 
리빙,"러그, 카펫 [스페셜]",,"60,000","48,000",, - , - 
리빙,"러그, 카펫 [스페셜/대형]",,"100,000","80,000",, - , - 
리빙,베개커버,,"4,000","3,200",, - , - 
리빙,발매트,,"5,800","4,640",, - , - 
리빙,커버류,,"11,500","9,200",, - , - 
리빙,쿠션커버,,"4,000","3,200",, - , - 
신발,농구화,,"9,800","7,840",1,"25,000","20,000"
신발,축구화,,"9,800","7,840",1,"25,000","20,000"
신발,일반운동화,,"6,500","5,200",1,"25,000","20,000"
신발,운동화 - 부분 세무 / 가죽,,"8,500","6,800",1,"45,000","36,000"
신발,운동화 - 전체 세무 / 가죽,,"10,500","8,400",2,"45,000","36,000"
신발,골프화,,"12,500","10,000",2,"25,000","20,000"
신발,등산화,,"12,500","10,000",2,"25,000","20,000"
신발,아동 신발,,"5,800","4,640",1,"25,000","20,000"
신발,하이탑,,"9,800","7,840",1,"25,000","20,000"
